spam 2.5-1
SparseM 1.78
spatialreg 1.1-5
spatialwidget 0.2.2
spatstat 1.64-1
spatstat.data 1.4-3
spatstat.utils 1.17-0
spData 0.3.8
spdep 1.1-5
spelling 2.1
splancs 2.01-40
stars 0.4-3
stringi 1.4.6
stringr 1.4.0
svglite 1.2.3.2
sys 3.4
systemfonts 0.2.3
tcltk2 1.2-11
tensor 1.5
testthat 2.3.2
tibble 3.0.3
tidyr 1.1.1
tidyselect 1.1.0
tidyverse 1.3.0
tiff 0.1-5
tinytest 1.2.2
tinytex 0.25
tkrplot 0.0-24
tmap 3.1
tmaptools 3.1
uniReg 1.1
units 0.6-7
usethis 1.6.1
utf8 1.1.4
uuid 0.1-4
V8 3.2.0
vctrs 0.3.2
viridis 0.5.1
viridisLite 0.3.0
webshot 0.5.2
webutils 1.1
whisker 0.4
whoami 1.3.0
widgetframe 0.3.1
withr 2.2.0
wk 0.3.2
xfun 0.16
XML 3.99-0.5
xml2 1.3.2
xmlparsedata 1.0.3
xopen 1.0.0
xtable 1.8-4
xts 0.12-0
yaml 2.2.1
zoo 1.8-8
littler 0.3.11
